session,group,education_level,education_field,work_experience_programming,work_experience_java,work_domain,workplace_peer_review,workplace_pair_programming,workplace_td_tracking,workplace_coding_standards,scenario,order,high_debt_version,quality_pre_task,quality_post_task,time,sonarqube_issues_major,sonarqube_issues_info,sonarqube_issues_minor,sonarqube_issues_critical,modified_lines,task_completion,reused_logic_constructor,reused_logic_validation,var_names_copied_all,var_names_copied_good,var_names_new_all,var_names_new_good,var_names_edited_all,var_names_edited_good,equals_state,hashcode_state,documentation_state,large_structure_change
604b8b43a7718fbed181b339,consultants,Some master studies,Computer Science,4E+00,2E+00,E-Commerce,true,true,true,true,tickets,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
604e5a1aa7718fbed181b33d,consultants,Master degree,Industrial engineering,0E+00,0E+00,Web,false,true,false,true,tickets,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
604f0e3fa7718fbed181b33e,consultants,Master degree,Computer Science,1E+00,1E+00,Telecom,false,false,false,false,tickets,0,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
604f1239a7718fbed181b33f,consultants,Master degree,Civil Engineering,2.5E+00,0E+00,E-Commerce,true,true,false,true,booking,1,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
604f1239a7718fbed181b33f,consultants,Master degree,Civil Engineering,2.5E+00,0E+00,E-Commerce,true,true,false,true,tickets,0,true,0,0,1619,1,0,0,0,32,Completed,true,true,8,5,2,2,0,0,Duplicated,Duplicated,Incorrect,false
604f35b4a7718fbed181b340,consultants,Master degree,Computer Science,3E+00,2E+00,Mixed,true,true,true,false,booking,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6050bff8856f36729d2e5217,friends,Some master studies,Software Engineering,2E-01,0E+00,Web,true,true,true,false,booking,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6050c1bf856f36729d2e5218,friends,Some master studies,Software Engineering,7E+00,2E+00,Devops,true,false,false,true,booking,1,false,-1,-1,1285,0,0,1,0,48,Completed,true,true,7,7,4,4,0,0,Good,Good,Incorrect,false
6050c1bf856f36729d2e5218,friends,Some master studies,Software Engineering,7E+00,2E+00,Devops,true,false,false,true,tickets,0,true,-1,-1,2877,0,0,0,0,60,Completed,false,false,8,1,3,0,0,0,Duplicated,Duplicated,Incorrect,false
6050e1e7856f36729d2e5219,friends,Some bachelor studies,Software Engineering,3E+00,3E+00,Mixed,true,true,false,false,booking,1,true,-3,3,2376,3,0,0,0,339,Completed,true,true,5,5,4,4,50,50,Not implemented,Not implemented,Correct,true
6050e1e7856f36729d2e5219,friends,Some bachelor studies,Software Engineering,3E+00,3E+00,Mixed,true,true,false,false,tickets,0,false,3,0,1427,1,0,0,0,27,Completed,true,true,7,7,2,2,0,0,Good,Good,Incorrect,false
6055fdc6856f36729d2e521b,friends,Bachelor degree,Computer Science,1E+00,0E+00,Telecom,true,true,true,true,booking,1,false,2,-1,1366,3,0,0,0,32,Completed,true,true,7,7,4,4,0,0,Not implemented,Not implemented,None,false
6055fdc6856f36729d2e521b,friends,Bachelor degree,Computer Science,1E+00,0E+00,Telecom,true,true,true,true,tickets,0,true,-2,0,1451,1,0,0,0,17,Completed,true,false,6,0,2,2,0,0,Not implemented,Not implemented,None,false
60579f2a856f36729d2e521e,friends,Some bachelor studies,Software Engineering,3.5E+00,0E+00,Web,true,true,false,true,booking,1,true,-2,-1,2675,0,0,0,0,73,Does not compile,true,true,5,5,4,4,11,11,Not implemented,Not implemented,None,false
60579f2a856f36729d2e521e,friends,Some bachelor studies,Software Engineering,3.5E+00,0E+00,Web,true,true,false,true,tickets,0,false,-2,-1,1245,1,0,0,0,13,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,None,false
60589862856f36729d2e521f,code-interested,Master degree,Software Engineering,2.6E+01,1.2E+01,Embedded,true,false,true,true,booking,1,false,1,3,2614,0,0,0,0,256,Completed,true,true,12,12,6,6,0,0,Not implemented,Not implemented,Incorrect,true
60589862856f36729d2e521f,code-interested,Master degree,Software Engineering,2.6E+01,1.2E+01,Embedded,true,false,true,true,tickets,0,true,-3,-2,737,0,0,0,0,66,Completed,false,false,12,10,2,2,0,0,Duplicated,Duplicated,Correct,false
605a30a7856f36729d2e5221,code-interested,Master degree,Electrical Engineering,6E+00,4E+00,Web,true,false,false,false,booking,0,true,-1,-1,616,3,0,0,0,40,Invalid solution,true,true,5,5,4,4,4,4,Not implemented,Not implemented,None,false
605a30a7856f36729d2e5221,code-interested,Master degree,Electrical Engineering,6E+00,4E+00,Web,true,false,false,false,tickets,1,false,2,0,811,0,0,0,0,35,Completed,true,true,7,7,1,1,0,0,Good,Good,Correct,false
605afa3a856f36729d2e5222,professional-contact,Some master studies,Computer Science,2E+01,1.5E+01,Finance,true,false,true,true,booking,1,false,1,0,1662,0,0,0,0,43,Completed,true,true,8,8,3,2,0,0,Good,Good,None,false
605afa3a856f36729d2e5222,professional-contact,Some master studies,Computer Science,2E+01,1.5E+01,Finance,true,false,true,true,tickets,0,true,-1,0,1096,0,0,0,0,55,Completed,false,false,12,1,2,1,0,0,Duplicated,Duplicated,Correct,false
605c8bc6856f36729d2e5223,code-interested,Master degree,Software Engineering,8E+00,8E+00,Music,true,false,true,true,booking,1,true,-3,0,1179,2,0,0,1,75,Completed,false,false,17,1,4,2,0,0,Duplicated,Duplicated,Incorrect,false
605c8bc6856f36729d2e5223,code-interested,Master degree,Software Engineering,8E+00,8E+00,Music,true,false,true,true,tickets,0,false,1,0,442,0,0,0,0,23,Completed,true,true,11,11,2,2,0,0,Good,Good,None,false
605f3f2d856f36729d2e5224,code-interested,Some master studies,Computer Science,3.4E+01,2.7E+01,Automotive,true,false,true,true,booking,0,false,1,0,805,0,0,0,0,30,Completed,true,true,7,7,4,4,0,0,Good,Good,None,false
605f3f2d856f36729d2e5224,code-interested,Some master studies,Computer Science,3.4E+01,2.7E+01,Automotive,true,false,true,true,tickets,1,true,-3,-2,1888,3,1,1,0,51,Completed,false,false,12,1,2,2,0,0,Duplicated,Duplicated,Incorrect,false
605f46c3856f36729d2e5225,code-interested,Master degree,Software Engineering,1E+00,5E-01,Automotive,true,true,false,true,booking,0,true,1,-1,1243,0,0,0,0,16,Completed,true,true,8,0,6,2,0,0,Not implemented,Not implemented,None,false
605f46c3856f36729d2e5225,code-interested,Master degree,Software Engineering,1E+00,5E-01,Automotive,true,true,false,true,tickets,1,false,1,-1,770,0,0,0,0,18,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,None,false
60605337856f36729d2e5226,code-interested,Some master studies,Software Engineering,2E+00,2E+00,Automotive,true,true,false,true,booking,0,false,1,-1,2676,0,0,0,0,39,Completed,true,true,8,8,4,4,0,0,Good,Good,Correct,false
60605337856f36729d2e5226,code-interested,Some master studies,Software Engineering,2E+00,2E+00,Automotive,true,true,false,true,tickets,1,true,-2,1,2241,0,0,0,0,212,Completed,true,true,0,0,2,2,44,44,Good,Good,Incorrect,false
60609ae6856f36729d2e5228,code-interested,Bachelor degree,Computer Science,0E+00,0E+00,None,false,false,false,false,booking,1,true,-2,-1,3581,0,0,1,1,86,Completed,false,false,16,1,4,4,0,0,Duplicated,Duplicated,Incorrect,false
60609ae6856f36729d2e5228,code-interested,Bachelor degree,Computer Science,0E+00,0E+00,None,false,false,false,false,tickets,0,false,2,0,2309,0,0,0,0,24,Completed,true,true,7,7,2,2,0,0,Good,Good,None,false
6061bf31856f36729d2e5229,friends,Some bachelor studies,Computer Science,1E+00,0E+00,Web,false,false,false,false,booking,0,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6061cb73856f36729d2e522c,friends,Some master studies,Computer Science,2E+00,0E+00,Marketing,false,false,false,false,booking,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6061ce91856f36729d2e522e,friends,Some bachelor studies,Software Engineering,1E+00,0E+00,Web,true,false,false,true,booking,1,true,-2,2,2172,0,0,0,0,188,Completed,true,true,9,4,4,4,10,10,Not implemented,Not implemented,Correct,true
6061ce91856f36729d2e522e,friends,Some bachelor studies,Software Engineering,1E+00,0E+00,Web,true,false,false,true,tickets,0,false,2,0,941,1,0,0,0,24,Completed,true,true,7,7,2,2,0,0,Good,Good,None,false
6061dd57856f36729d2e522f,open,Bachelor degree,Computer Science,1E+00,1E+00,App,true,false,false,true,tickets,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6061f106856f36729d2e5231,friends,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,booking,1,false,2,0,619,0,0,0,0,21,Completed,true,true,5,5,4,4,0,0,Not implemented,Not implemented,None,false
6061f106856f36729d2e5231,friends,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,false,false,false,tickets,0,true,2,0,927,0,0,0,0,20,Completed,true,true,10,0,2,0,0,0,Not implemented,Duplicated,None,false
60661df9856f36729d2e523a,open,Master degree,Software Engineering,5E+00,3E+00,None,true,true,true,true,booking,0,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
60672faa856f36729d2e523c,open,Some bachelor studies,Software Engineering,0E+00,3E+00,None,true,true,true,true,booking,1,true,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
60672faa856f36729d2e523c,open,Some bachelor studies,Software Engineering,0E+00,3E+00,None,true,true,true,true,tickets,0,false,0,0,1029,1,0,0,0,14,Completed,true,true,4,4,2,2,0,0,Not implemented,Not implemented,None,false
6067881a856f36729d2e523d,friends,Some bachelor studies,Software Engineering,0E+00,0E+00,None,false,true,false,false,booking,0,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6068ea9f856f36729d2e523e,consultants,None,None,4E+00,4E+00,Retail,false,false,true,false,booking,1,true,1,0,2567,3,0,0,0,49,Completed,true,true,3,1,6,6,0,0,Good,Good,None,false
6068ea9f856f36729d2e523e,consultants,None,None,4E+00,4E+00,Retail,false,false,true,false,tickets,0,false,-2,1,7298,0,0,0,0,182,Completed,true,true,13,13,14,14,0,0,Duplicated,Duplicated,None,true
606db69d856f36729d2e5243,product-company,Master degree,Computer Science,1.7E+01,9E+00,Telecom,true,false,false,true,booking,0,false,-1,0,4888,0,0,0,0,66,Completed,true,true,5,5,6,6,0,0,Not implemented,Not implemented,Correct,false
606db69d856f36729d2e5243,product-company,Master degree,Computer Science,1.7E+01,9E+00,Telecom,true,false,false,true,tickets,1,true,0,0,11,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
606dbcd0856f36729d2e5244,product-company,Some bachelor studies,Software Engineering,1.5E+01,1.3E+01,Government,true,true,true,true,tickets,0,false,0,0,0,0,0,0,0,0,Not submitted,false,false,0,0,0,0,0,0,Not implemented,Not implemented,None/Incorrect/Correct,false
6075ab05856f36729d2e5247,consultants,Master degree,Interaction Design,2E+00,2E+00,App,true,false,true,false,booking,0,true,1,-1,1350,4,0,0,0,43,Completed,true,true,6,3,4,4,0,0,Not implemented,Not implemented,None,false
6075ab05856f36729d2e5247,consultants,Master degree,Interaction Design,2E+00,2E+00,App,true,false,true,false,tickets,1,false,1,-1,489,0,0,0,0,14,Completed,true,true,6,6,2,2,0,0,Not implemented,Not implemented,None,false
